Lakewood/Seward Park,47.17,-122.52
Denny Blaine,47.37,-122.16
Rainier Beach,47.51,-122.26
New Holly,47.54,-122.29
Othello,47.54,-122.28
Brighton,47.55,-122.27
Rainier Valley,47.55,-122.29
Rainier Vista,47.56,-122.29
Beacon Hill,47.58,-122.315
Mount Baker,47.58,-122.29
Colman,47.59,-122.29
SoDo,47.59,-122.33
Central Area,47.6,-122.31
Harborview,47.6,-122.32
International District,47.6,-122.32
Jackson Place,47.6,-122.34
Judkins,47.6,-122.31
Leschi,47.6,-122.29
Pioneer Square,47.6,-122.33
Yesler Terrace,47.6,-122.32
Downtown,47.61,-122.34
First Hill,47.61,-122.33
Garfield,47.61,-122.3
Madrona,47.61,-122.29
Pike Place Market,47.61,-122.34
Squire Park,47.61,-122.31
Union,47.61,-122.32
West Edge,47.61,-122.34
Belltown,47.61322,-122.3465
Cascade,47.62,-122.33
Denny Regrade,47.62,-122.34
South Lake Union,47.62,-122.33
Uptown,47.62,-122.36
Capitol Hill,47.623,-122.316
Madison Park,47.63,-122.28
Westlake,47.63,-122.34
Broadway,47.634,-122.325
Broadmoor,47.64,-122.29
Montlake,47.64,-122.31
Queen Anne,47.64,-122.36
Briarcliff,47.65,-122.41
Interbay,47.65,-122.38
Magnolia,47.65,-122.4
